Unnamed: 0,Area,Item,Year,hg/ha_yield,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp
0,Albania,Maize,1990,0.07292734590974186,0.44967074317968014,0.0003288940968621393,0.5134582623509371
1,Albania,Potatoes,1990,0.13287205651804485,0.44967074317968014,0.0003288940968621393,0.5134582623509371
2,Albania,"Rice, paddy",1990,0.04643949880525449,0.44967074317968014,0.0003288940968621393,0.5134582623509371
3,Albania,Sorghum,1990,0.024832356660456915,0.44967074317968014,0.0003288940968621393,0.5134582623509371
4,Albania,Soybeans,1990,0.013862239260255066,0.44967074317968014,0.0003288940968621393,0.5134582623509371
5,Albania,Wheat,1990,0.0601302053207064,0.44967074317968014,0.0003288940968621393,0.5134582623509371
6,Albania,Maize,1991,0.057878339403464964,0.44967074317968014,0.0003288940968621393,0.47904599659284497
7,Albania,Potatoes,1991,0.1551134709052541,0.44967074317968014,0.0003288940968621393,0.47904599659284497
8,Albania,"Rice, paddy",1991,0.05682121899944551,0.44967074317968014,0.0003288940968621393,0.47904599659284497
9,Albania,Sorghum,1991,0.013198048515842845,0.44967074317968014,0.0003288940968621393,0.47904599659284497
10,Albania,Soybeans,1991,0.011999313869020789,0.44967074317968014,0.0003288940968621393,0.47904599659284497
11,Albania,Wheat,1991,0.04118381528715778,0.44967074317968014,0.0003288940968621393,0.47904599659284497
12,Albania,Maize,1992,0.04951711537771112,0.44967074317968014,0.0003288940968621393,0.5028960817717206
13,Albania,Potatoes,1992,0.16528975071904134,0.44967074317968014,0.0003288940968621393,0.5028960817717206
14,Albania,"Rice, paddy",1992,0.07968294366146617,0.44967074317968014,0.0003288940968621393,0.5028960817717206
15,Albania,Sorghum,1992,0.007373913459735679,0.44967074317968014,0.0003288940968621393,0.5028960817717206
16,Albania,Soybeans,1992,0.008889784227763573,0.44967074317968014,0.0003288940968621393,0.5028960817717206
17,Albania,Wheat,1992,0.04854376677929321,0.44967074317968014,0.0003288940968621393,0.5028960817717206
18,Albania,Maize,1993,0.04813886971888576,0.44967074317968014,0.0003288940968621393,0.5025553662691653
19,Albania,Potatoes,1993,0.19625739485641114,0.44967074317968014,0.0003288940968621393,0.5025553662691653
20,Albania,"Rice, paddy",1993,0.08324523996633171,0.44967074317968014,0.0003288940968621393,0.5025553662691653
21,Albania,Soybeans,1993,0.01585281692669169,0.44967074317968014,0.0003288940968621393,0.5025553662691653
22,Albania,Wheat,1993,0.059689406057898284,0.44967074317968014,0.0003288940968621393,0.5025553662691653
23,Albania,Maize,1994,0.05145583430734679,0.44967074317968014,0.0005464166476968875,0.5335604770017036
24,Albania,Potatoes,1994,0.1622659874501857,0.44967074317968014,0.0005464166476968875,0.5335604770017036
25,Albania,Soybeans,1994,0.015711202683889085,0.44967074317968014,0.0005464166476968875,0.5335604770017036
26,Albania,Wheat,1994,0.04925582712690631,0.44967074317968014,0.0005464166476968875,0.5335604770017036
27,Albania,Maize,1995,0.06233021250114688,0.44967074317968014,0.0006823682419686051,0.4896081771720614
28,Albania,Potatoes,1995,0.22194143154048374,0.44967074317968014,0.0006823682419686051,0.4896081771720614
29,Albania,Soybeans,1995,0.023418208799230893,0.44967074317968014,0.0006823682419686051,0.4896081771720614
30,Albania,Wheat,1995,0.057150322521451566,0.44967074317968014,0.0006823682419686051,0.4896081771720614
31,Albania,Maize,1996,0.06493112760839473,0.44967074317968014,0.0008535584894755519,0.4885860306643953
32,Albania,Potatoes,1996,0.21159960268229344,0.44967074317968014,0.0008535584894755519,0.4885860306643953
33,Albania,Soybeans,1996,0.03077616572456628,0.44967074317968014,0.0008535584894755519,0.4885860306643953
34,Albania,Wheat,1996,0.043264148459596065,0.44967074317968014,0.0008535584894755519,0.4885860306643953
35,Albania,Maize,1997,0.06345115904276749,0.44967074317968014,0.001024775927301353,0.4974446337308348
36,Albania,Potatoes,1997,0.21905130424723054,0.44967074317968014,0.001024775927301353,0.4974446337308348
37,Albania,Soybeans,1997,0.02536690056286675,0.44967074317968014,0.001024775927301353,0.4974446337308348
38,Albania,Wheat,1997,0.056777338529844706,0.44967074317968014,0.001024775927301353,0.4974446337308348
39,Albania,Maize,1998,0.06655071585002453,0.44967074317968014,0.0011959661748083,0.5100511073253834
40,Albania,Potatoes,1998,0.2536331034262669,0.44967074317968014,0.0011959661748083,0.5100511073253834
41,Albania,Soybeans,1998,0.028476430204123965,0.44967074317968014,0.0011959661748083,0.5100511073253834
42,Albania,Wheat,1998,0.05582194103262712,0.44967074317968014,0.0011959661748083,0.5100511073253834
43,Albania,Maize,1999,0.07460677115537276,0.44967074317968014,0.0013671836126341011,0.5202725724020444
44,Albania,Potatoes,1999,0.2831646594676102,0.44967074317968014,0.0013671836126341011,0.5202725724020444
45,Albania,Soybeans,1999,0.03409313031302732,0.44967074317968014,0.0013671836126341011,0.5202725724020444
46,Albania,Wheat,1999,0.04967269158811398,0.44967074317968014,0.0013671836126341011,0.5202725724020444
47,Albania,Maize,2000,0.07731140373622253,0.44967074317968014,0.001538373860141048,0.523679727427598
48,Albania,Potatoes,2000,0.28158895169558124,0.44967074317968014,0.001538373860141048,0.523679727427598
49,Albania,Soybeans,2000,0.029818773660548664,0.44967074317968014,0.001538373860141048,0.523679727427598
50,Albania,Wheat,2000,0.06064480355511587,0.44967074317968014,0.001538373860141048,0.523679727427598
51,Albania,Maize,2001,0.07596307657939771,0.44967074317968014,0.001709591297966849,0.520954003407155
52,Albania,Potatoes,2001,0.2967277137078598,0.44967074317968014,0.001709591297966849,0.520954003407155
53,Albania,Soybeans,2001,0.03979160766073217,0.44967074317968014,0.001709591297966849,0.520954003407155
54,Albania,Wheat,2001,0.05618694675703384,0.44967074317968014,0.001709591297966849,0.520954003407155
55,Albania,Maize,2002,0.07860587758944634,0.44967074317968014,0.001880781545473796,0.5168654173764906
56,Albania,Potatoes,2002,0.3068002760480451,0.44967074317968014,0.001880781545473796,0.5168654173764906
57,Albania,Soybeans,2002,0.03979160766073217,0.44967074317968014,0.001880781545473796,0.5168654173764906
58,Albania,Wheat,2002,0.0629624901767585,0.44967074317968014,0.001880781545473796,0.5168654173764906
59,Albania,Maize,2004,0.0920432741212936,0.44967074317968014,0.002223189230806544,0.5063032367972743
60,Albania,Potatoes,2004,0.29778084497827917,0.44967074317968014,0.002223189230806544,0.5063032367972743
61,Albania,Soybeans,2004,0.026493830804887486,0.44967074317968014,0.002223189230806544,0.5063032367972743
62,Albania,Wheat,2004,0.06199113614514064,0.44967074317968014,0.002223189230806544,0.5063032367972743
63,Albania,Maize,2005,0.09053737618726589,0.44967074317968014,0.002394379478313491,0.4896081771720614
64,Albania,Potatoes,2005,0.33311459584092934,0.44967074317968014,0.002394379478313491,0.4896081771720614
65,Albania,Soybeans,2005,0.03480519066064042,0.44967074317968014,0.002394379478313491,0.4896081771720614
66,Albania,Wheat,2005,0.06289268033875722,0.44967074317968014,0.002394379478313491,0.4896081771720614
67,Albania,Maize,2006,0.09985000857663724,0.44967074317968014,0.0025655969161392923,0.49812606473594556
68,Albania,Potatoes,2006,0.34046257993226453,0.44967074317968014,0.0025655969161392923,0.49812606473594556
69,Albania,Soybeans,2006,0.03979160766073217,0.44967074317968014,0.0025655969161392923,0.49812606473594556
70,Albania,Wheat,2006,0.06130699973272805,0.44967074317968014,0.0025655969161392923,0.49812606473594556
71,Albania,Maize,2007,0.09311036735931323,0.44967074317968014,0.0027367871636462394,0.523679727427598
72,Albania,Potatoes,2007,0.3766779293205309,0.44967074317968014,0.0027367871636462394,0.523679727427598
73,Albania,Soybeans,2007,0.03979160766073217,0.44967074317968014,0.0027367871636462394,0.523679727427598
74,Albania,Wheat,2007,0.07069941479410087,0.44967074317968014,0.0027367871636462394,0.523679727427598
75,Albania,Maize,2008,0.09962861166183316,0.44967074317968014,0.00290800460147204,0.5250425894378196
76,Albania,Potatoes,2008,0.3866028937175135,0.44967074317968014,0.00290800460147204,0.5250425894378196
77,Albania,Soybeans,2008,0.03979160766073217,0.44967074317968014,0.00290800460147204,0.5250425894378196
78,Albania,Wheat,2008,0.08001803088387233,0.44967074317968014,0.00290800460147204,0.5250425894378196
79,Albania,Maize,2009,0.1109836804544421,0.44967074317968014,0.0030791948489789873,0.5257240204429302
80,Albania,Potatoes,2009,0.4382661629720641,0.44967074317968014,0.0030791948489789873,0.5257240204429302
81,Albania,Soybeans,2009,0.03314371651620985,0.44967074317968014,0.0030791948489789873,0.5257240204429302
82,Albania,Wheat,2009,0.08013969945867457,0.44967074317968014,0.0030791948489789873,0.5257240204429302
83,Albania,Maize,2010,0.13311738823444938,0.44967074317968014,0.0035650042759495433,0.5185689948892676
84,Albania,Potatoes,2010,0.46086659938327995,0.44967074317968014,0.0035650042759495433,0.5185689948892676
85,Albania,Soybeans,2010,0.03314371651620985,0.44967074317968014,0.0035650042759495433,0.5185689948892676
86,Albania,Wheat,2010,0.07949345981546267,0.44967074317968014,0.0035650042759495433,0.5185689948892676
87,Albania,Maize,2011,0.11931299141139536,0.44967074317968014,0.0035417837436479338,0.51618398637138
88,Albania,Potatoes,2011,0.48300629086368735,0.44967074317968014,0.0035417837436479338,0.51618398637138
89,Albania,Soybeans,2011,0.036837654229877816,0.44967074317968014,0.0035417837436479338,0.51618398637138
90,Albania,Wheat,2011,0.0842724418683506,0.44967074317968014,0.0035417837436479338,0.51618398637138
91,Albania,Maize,2012,0.13411467163446772,0.44967074317968014,0.0020833494209386554,0.5247018739352641
92,Albania,Potatoes,2012,0.4996150486075929,0.44967074317968014,0.0020833494209386554,0.5247018739352641
93,Albania,Soybeans,2012,0.026493830804887486,0.44967074317968014,0.0020833494209386554,0.5247018739352641
94,Albania,Wheat,2012,0.08186898887430638,0.44967074317968014,0.0020833494209386554,0.5247018739352641
95,Albania,Maize,2013,0.13858848496695003,0.44967074317968014,0.0026708506404244563,0.5488926746166951
96,Albania,Potatoes,2013,0.5187070420175443,0.44967074317968014,0.0026708506404244563,0.5488926746166951
97,Albania,Soybeans,2013,0.019845939660365165,0.44967074317968014,0.0026708506404244563,0.5488926746166951
98,Albania,Wheat,2013,0.08225992396711358,0.44967074317968014,0.0026708506404244563,0.5488926746166951
99,Algeria,Maize,1990,0.03281062386060372,0.011915961116337408,0.004972783034633179,0.5512776831345827
100,Algeria,Potatoes,1990,0.15734339658769514,0.011915961116337408,0.004972783034633179,0.5512776831345827
101,Algeria,"Rice, paddy",1990,0.05574814206102577,0.011915961116337408,0.004972783034633179,0.5512776831345827
102,Algeria,Sorghum,1990,0.03295223810340632,0.011915961116337408,0.004972783034633179,0.5512776831345827
103,Algeria,Wheat,1990,0.012495961002229926,0.011915961116337408,0.004972783034633179,0.5512776831345827
104,Algeria,Maize,1991,0.03825778579150395,0.011915961116337408,0.006693603934286873,0.5097103918228281
105,Algeria,Potatoes,1991,0.18090122506292858,0.011915961116337408,0.006693603934286873,0.5097103918228281
106,Algeria,"Rice, paddy",1991,0.05332673796578121,0.011915961116337408,0.006693603934286873,0.5097103918228281
107,Algeria,Sorghum,1991,0.04823061979168745,0.011915961116337408,0.006693603934286873,0.5097103918228281
108,Algeria,Wheat,1991,0.021459544201594856,0.011915961116337408,0.006693603934286873,0.5097103918228281
109,Algeria,Maize,1992,0.04543224257123595,0.011915961116337408,0.0033047929245134753,0.5100511073253834
110,Algeria,Potatoes,1992,0.21514793701955873,0.011915961116337408,0.0033047929245134753,0.5100511073253834
111,Algeria,"Rice, paddy",1992,0.04923189232530587,0.011915961116337408,0.0033047929245134753,0.5100511073253834
112,Algeria,Sorghum,1992,0.07968294366146617,0.011915961116337408,0.0033047929245134753,0.5100511073253834
